Sparta, alu/ADDIU-v1, ADDIU, Pass, dt10, 
Sparta, shift/SRAV-v4, SRAV, Pass, dt10, 
Sparta, shift/SRAV-v5, SRAV, Pass, dt10, 
Sparta, shift/SRL-v1, SRL, Pass, dt10, 
Sparta, shift/SRL-v2, SRL, Pass, dt10, 
Sparta, shift/SRL-v3, SRL, Pass, dt10, 
Sparta, shift/SRL-v4, SRL, Pass, dt10, 
Sparta, shift/SRL-v5, SRL, Pass, dt10, 
Sparta, shift/SRLV-v1, SRLV, Pass, dt10, 
Sparta, shift/SRLV-v2, SRLV, Pass, dt10, 
Sparta, shift/SRLV-v3, SRLV, Pass, dt10, 
Sparta, shift/SRLV-v4, SRLV, Pass, dt10, 
Sparta, shift/SRLV-v5, SRLV, Pass, dt10, 
